Make,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum
Kia,Rio,"1,733","2,191","2,894","2,879","3,386","3,590","3,297","1,777","2,148","2,310","2,357","2,800",31362
Kia,Sedona,510,-,-,-,-,"3,184","3,782","2,475","2,782","1,892",-,-,14625
Kia,Seltos,"4,992","5,297","6,497","6,471","5,360","3,568","4,412","2,822","2,933","3,274","2,689","3,053",51368
Kia,Sorento,"5,302","5,730","8,692","10,040","11,144","7,405","5,750","4,080","4,112","6,195","6,845","6,490",81785
Kia,Soul,"5,377","4,915","6,899","6,770","7,716","7,103","7,838","7,536","6,191","6,289","4,505","3,987",75126
Kia,Sportage,-,"7,033","9,471","8,094","11,035","11,828","10,626","8,182","6,596","5,459","4,330","6,034",88688
Kia,Stinger,695,742,"1,007","1,193","1,457","1,404","1,419","1,228","1,232","1,274",948,918,13517
Kia,Telluride,"6,626","6,637","8,591","8,195","7,776","7,613","8,661","7,347","9,278","7,695","7,767","7,519",93705
Land,Rover,"1,572","1,572","1,769","1,035",995,"1,035","1,249","1,203","1,249","2,467","2,467","2,467",19080
Land,Rover,126,126,141,373,359,373,439,423,439,533,533,533,4398
Land,Rover,793,793,892,386,371,386,540,520,540,667,667,667,7222
Land,Rover,911,911,"1,092","1,138","1,094","1,138","1,215","1,170","1,215","2,467","2,467","2,467",17285
Land,Rover,782,782,879,452,435,452,405,390,405,733,733,733,7181
Land,Rover,"1,837","1,837","2,067","1,249","1,201","1,249","1,283","1,235","1,283","2,700","2,700","2,700",21341
Land,Rover,684,684,769,"1,193","1,147","1,193","1,249","1,203","1,249","1,300","1,300","1,300",13271
Lexus,ES,"2,654","2,874","4,664","3,251","4,996","4,353","4,669","3,827","2,765","3,587","3,738","4,028",45406
Lexus,GS,31,14,7,12,5,1,5,-,-,-,-,1,76
Lexus,GX,"2,060","2,280","3,337","2,641","2,938","2,150","2,607","3,016","2,830","3,564","2,079","3,007",32509
Lexus,IS,"1,609","1,905","2,514","2,414","2,774","2,177","2,795","2,436","1,536",359,86,"1,393",21998
Lexus,LC,213,203,238,306,335,280,313,244,240,178,87,145,2782
Lexus,LS,383,351,403,372,404,338,382,365,314,163,86,178,3739
Lexus,LX,493,423,424,417,338,194,"22,635",114,223,155,90,510,26016
Lexus,NX,"3,844","4,152","6,466","5,404","6,453","5,747","6,827","6,878","4,773","4,133","2,321","1,516",58514
Lexus,RC,213,207,357,312,302,311,368,416,234,121,52,94,2987
Lexus,RX,"7,086","7,905","12,950","10,146","8,953","9,604","11,307","8,102","8,572","9,416","9,685","11,594",115320
Lexus,UX,"1,055","1,112","1,826","1,753","2,226","1,552","1,712","1,831","1,210",955,772,"1,577",17581
Lincoln,Aviator,"1,939","1,615","2,532","2,844","1,927",999,"1,126",766,"1,726","2,134","1,676","1,640",20924
Lincoln,Continental,263,231,274,258,171,76,84,24,14,16,13,36,1460
Lincoln,Corsair,"2,019","2,116","2,979","2,821","2,348","1,224",599,859,"2,040","2,535","1,423","1,827",22790
Lincoln,MKX/Nautilus,"1,740","2,589","2,043","2,609","2,104","1,342","1,416","2,667","2,666","2,458","2,340","1,469",25443
Lincoln,MKZ,425,398,415,267,101,27,14,12,6,5,8,3,1681
Lincoln,Navigator,"1,355","1,715","1,762","1,669","1,492","1,235",998,826,"1,195","1,198",966,"1,220",15631
Mazda,3,"3,046","7,275","3,863","3,794","4,525","3,323","3,927","2,463","2,595","2,514","2,501","2,019",41845
Mazda,5,-,60,-,-,-,-,-,-,-,-,-,-,60
Mazda,6,"1,398","3,617","1,560","1,517","2,335","1,889","1,778","1,435","1,032",815,586,542,18504
Mazda,CX-3,374,"1,793",620,893,967,667,647,380,32,1,-,-,6374
Mazda,CX-30,"3,624",-,"5,960","5,532","7,959","5,824","5,598","4,391","3,581","3,147","4,404","5,160",55180
Mazda,CX-5,"13,583","7,579","15,080","14,883","20,595","16,393","16,299","15,329","13,094","10,177","10,509","10,419",163940
Mazda,CX-9,"2,698",461,"3,537","3,188","4,409","3,282","3,264","2,383","2,887","2,373","2,311","1,010",31803
Mazda,MX-30,-,-,-,-,-,-,-,-,-,-,-,61,61
Mazda,MX-5,536,759,"1,371","1,310","1,397","1,227","1,226",881,824,492,236,211,10470
Mercedes-Benz,A-Class,"1,052","1,052","1,184",886,852,886,327,315,327,409,409,409,8108
Mercedes-Benz,AMG,388,388,436,377,363,377,161,155,161,101,101,101,3109
Mercedes-Benz,C-Class,"2,463","2,463","2,771","3,410","3,279","3,410","3,810","3,669","3,810",577,577,577,30816
Mercedes-Benz,CLA-Class,759,759,854,785,755,785,197,190,197,514,514,514,6823
Mercedes-Benz,E,"2,624","2,624","2,952","2,399","2,307","2,399",786,757,786,"1,104","1,104","1,104",20946
Mercedes-Benz,EQS-Sedan,-,-,-,-,-,-,-,-,-,-,-,443,443
Mercedes-Benz,G-Class,547,547,615,966,929,966,562,541,562,762,762,762,8521
Mercedes-Benz,GL/GLS-Class,"2,411","2,411","2,712","2,198","2,113","2,198","1,233","1,188","1,233","2,256","2,256","2,256",24465
Mercedes-Benz,GLA-Class,"1,720","1,720","1,935","1,770","1,702","1,770",367,353,367,873,873,873,14323
Mercedes-Benz,GLB,"2,266","2,266","2,549","3,498","3,364","3,498","1,834","1,766","1,834","1,267","1,267","1,267",26676
Mercedes-Benz,GLC/GLK-Class,"4,982","4,982","5,605","4,923","4,734","4,923","2,694","2,594","2,694","4,558","4,558","4,558",51805
Mercedes-Benz,GLE-Class,"5,334","5,334","6,000","6,428","6,181","6,428","4,007","3,858","4,007","5,832","5,832","5,832",65073
Mercedes-Benz,Metris,933,"1,049","1,049",611,588,611,"1,084","1,044","1,084","1,667","1,667","1,667",13054
Mercedes-Benz,S-Class,334,334,375,126,121,126,"2,623","2,524","2,621","1,700","1,700","1,700",14284
Mercedes-Benz,SL-Class,100,100,112,45,43,45,2,5,5,1,1,1,460
Mercedes-Benz,SLC-Class,63,63,71,8,8,8,-,2,2,-,-,-,225
Mercedes-Benz,Sprinter,"2,798","2,798","3,148","2,783","2,676","2,783","4,335","4,174","4,335","3,568","3,568","3,568",40534
Mini,Cooper,"1,319","1,319","1,484","2,077","1,997","2,077","1,347","1,297","1,347","5,224","1,741","1,741",22970
Mini,Countryman,692,692,778,"1,077","1,035","1,077",828,797,828,"2,636",879,879,12198
Mitsubishi,Eclipse,507,507,570,937,901,937,872,839,872,668,668,668,8946
Mitsubishi,Mirage,"2,218","2,218","2,496","2,293","2,205","2,293","1,643","1,582","1,643","1,384","1,384","1,384",22743
Mitsubishi,Outlander,"1,314","1,314","1,478","2,218","2,133","2,218","3,578","3,446","3,578","4,202","4,202","4,202",33883
Mitsubishi,Outlander,81,81,91,130,125,130,340,328,340,201,201,201,2249
Mitsubishi,Outlander,"4,914","4,914","5,528","2,913","2,801","2,913","1,599","1,540","1,599","1,831","1,831","1,831",34214
Nissan,370Z,9,9,10,2,2,2,1,1,1,-,-,-,37
Nissan,Altima,"10,245","10,245","11,526","10,100","9,712","10,100","4,583","4,413","4,583","9,423","9,423","9,423",103776
Nissan,Armada,"2,431","2,431","2,735","2,464","2,369","2,464","1,279","1,232","1,279","1,377","1,377","1,377",22815
